host,ip,port,protocol,title,domain,country,city,link,org
125.71.59.104:3478,125.71.59.104,3478,stun,,,CN,Chengdu,,Chinanet
171.15.198.100:3478,171.15.198.100,3478,stun,,,CN,Zhengzhou,,Chinanet
112.1.17.207:3478,112.1.17.207,3478,stun,,,CN,Beijing,,China Mobile communications corporation
121.15.255.195:3478,121.15.255.195,3478,stun,,,CN,Guangzhou,,Chinanet
219.140.174.100:3478,219.140.174.100,3478,stun,,,CN,Wuhan,,Chinanet
220.171.4.41:3478,220.171.4.41,3478,stun,,,CN,Changji,,Chinanet
220.169.157.64:3478,220.169.157.64,3478,stun,,,CN,Yueyang,,Chinanet
211.141.223.4:3478,211.141.223.4,3478,stun,,,CN,Ma'anshan,,"China Mobile Communications Group Co., Ltd."
221.237.182.19:3478,221.237.182.19,3478,stun,,,CN,Chengdu,,Chinanet
60.191.40.132:3478,60.191.40.132,3478,stun,,,CN,Hangzhou,,Chinanet
116.62.158.5:3478,116.62.158.5,3478,stun,,,CN,Hangzhou,,"Hangzhou Alibaba Advertising Co.,Ltd."
116.131.5.179:3478,116.131.5.179,3478,stun,,,CN,Beijing,,CHINA UNICOM China169 Backbone
47.100.137.210:3478,47.100.137.210,3478,stun,,,CN,Shanghai,,"Hangzhou Alibaba Advertising Co.,Ltd."
58.20.232.137:3478,58.20.232.137,3478,stun,,,CN,Jishou,,CHINA UNICOM China169 Backbone
153.3.66.156:3478,153.3.66.156,3478,stun,,,CN,Nanjing,,CHINA UNICOM China169 Backbone
124.133.235.148:3478,124.133.235.148,3478,stun,,,CN,Jinan,,CHINA UNICOM China169 Backbone
219.144.222.161:3478,219.144.222.161,3478,stun,,,CN,Xi'an,,Chinanet
101.133.145.91:3478,101.133.145.91,3478,stun,,,CN,Shanghai,,"Hangzhou Alibaba Advertising Co.,Ltd."
183.194.96.238:3478,183.194.96.238,3478,stun,,,CN,Shanghai,,"Shanghai Mobile Communications Co.,Ltd."
183.194.96.230:3478,183.194.96.230,3478,stun,,,CN,Shanghai,,"Shanghai Mobile Communications Co.,Ltd."
111.75.138.27:3478,111.75.138.27,3478,stun,,,CN,Fuzhou,,Chinanet
183.220.29.39:3478,183.220.29.39,3478,stun,,,CN,Chengdu,,"China Mobile Communications Group Co., Ltd."
116.7.234.92:3478,116.7.234.92,3478,stun,,,CN,Shenzhen,,Chinanet
124.67.67.212:3478,124.67.67.212,3478,stun,,,CN,Ordos,,CHINA UNICOM China169 Backbone
120.194.184.57:3478,120.194.184.57,3478,stun,,,CN,Jiaozuo,,"Henan Mobile Communications Co.,Ltd"
124.118.46.98:3478,124.118.46.98,3478,stun,,,CN,Hami,,Chinanet
117.35.182.226:3478,117.35.182.226,3478,stun,,,CN,Xi'an,,Chinanet
220.167.137.82:3478,220.167.137.82,3478,stun,,,CN,Xining,,Qinghai Telecom
117.72.198.101:3478,117.72.198.101,3478,stun,,,CN,Beijing,,China Telecom Beijing Tianjin Hebei Big Data Industry Park Branch
124.89.13.210:3478,124.89.13.210,3478,stun,,,CN,Xianyang,,CHINA UNICOM China169 Backbone
117.40.131.25:3478,117.40.131.25,3478,stun,,,CN,Nanchang,,Chinanet
121.239.102.59:3478,121.239.102.59,3478,stun,,,CN,Suzhou,,Chinanet
168.160.168.121:3478,168.160.168.121,3478,stun,,,CN,Beijing,,"Information Center, Ministry of Sci and Tech"
183.242.250.10:3478,183.242.250.10,3478,stun,,,CN,Beijing,,China Mobile Communicaitons Corporation
210.21.11.42:3478,210.21.11.42,3478,stun,,,CN,Guangzhou,,China Unicom Guangzhou network
222.175.117.105:3478,222.175.117.105,3478,stun,,,CN,Jinan,,Chinanet
101.129.19.4:3478,101.129.19.4,3478,stun,,,CN,Beijing,,China Central Television
121.46.238.186:3478,121.46.238.186,3478,stun,,,CN,Shanghai,,China Telecom Group
112.17.97.228:3478,112.17.97.228,3478,stun,,,CN,Beijing,,China Mobile communications corporation
116.205.32.103:3478,116.205.32.103,3478,stun,,,CN,Beijing,,Huawei Cloud Service data center
123.161.69.69:3478,123.161.69.69,3478,stun,,,CN,Nanyang,,Chinanet
58.49.84.106:3478,58.49.84.106,3478,stun,,,CN,Wuhan,,Chinanet
221.237.152.242:3478,221.237.152.242,3478,stun,,,CN,Chengdu,,Chinanet
61.190.135.72:3478,61.190.135.72,3478,stun,,,CN,Anqing,,Chinanet
114.251.133.211:3478,114.251.133.211,3478,stun,,,CN,Beijing,,China Unicom Beijing Province Network
180.136.3.233:3478,180.136.3.233,3478,stun,,,CN,Guigang,,Chinanet
222.177.141.226:3478,222.177.141.226,3478,stun,,,CN,Chongqing,,Chinanet
219.142.54.198:3478,219.142.54.198,3478,stun,,,CN,Beijing,,China Networks Inter-Exchange
113.110.42.19:3478,113.110.42.19,3478,stun,,,CN,Jieyang,,CHINATELECOM Guangdong province Zhongshan 5G network
120.233.122.57:3478,120.233.122.57,3478,stun,,,CN,Beijing,,"China Mobile Communications Group Co., Ltd."
116.228.173.69:3478,116.228.173.69,3478,stun,,,CN,Shanghai,,China Telecom Group
36.48.167.4:3478,36.48.167.4,3478,stun,,,CN,Jilin,,Chinanet
222.168.65.12:3478,222.168.65.12,3478,stun,,,CN,Jilin,,Chinanet
124.128.34.211:3478,124.128.34.211,3478,stun,,,CN,Jinan,,CHINA UNICOM China169 Backbone
111.198.182.70:3478,111.198.182.70,3478,stun,,,CN,Beijing,,China Unicom Beijing Province Network
221.224.155.75:3478,221.224.155.75,3478,stun,,,CN,Suzhou,,Chinanet
111.206.219.100:3478,111.206.219.100,3478,stun,,,CN,Beijing,,China Unicom Beijing Province Network
124.115.228.52:3478,124.115.228.52,3478,stun,,,CN,Xi'an,,Chinanet
218.17.87.162:3478,218.17.87.162,3478,stun,,,CN,Shenzhen,,Chinanet
43.254.46.206:3478,43.254.46.206,3478,stun,,,CN,Shanghai,,China Unicom
221.236.79.6:3478,221.236.79.6,3478,stun,,,CN,Panzhihua,,Chinanet
112.46.188.178:3478,112.46.188.178,3478,stun,,,CN,Xianyang,,"China Mobile Communications Group Co., Ltd."
110.167.198.242:3478,110.167.198.242,3478,stun,,,CN,Xining,,Qinghai Telecom
1.202.231.12:3478,1.202.231.12,3478,stun,,,CN,Beijing,,China Networks Inter-Exchange
183.230.233.132:3478,183.230.233.132,3478,stun,,,CN,Chongqing,,"China Mobile Communications Group Co., Ltd."
116.117.51.117:3478,116.117.51.117,3478,stun,,,CN,Baotou,,CHINA UNICOM China169 Backbone
47.99.65.73:3478,47.99.65.73,3478,stun,,,CN,Hangzhou,,"Hangzhou Alibaba Advertising Co.,Ltd."
1.203.190.2:3478,1.203.190.2,3478,stun,,,CN,Beijing,,China Networks Inter-Exchange
101.230.199.223:3478,101.230.199.223,3478,stun,,,CN,Shanghai,,China Telecom Group
114.242.40.16:3478,114.242.40.16,3478,stun,,,CN,Beijing,,China Unicom Beijing Province Network
58.210.254.100:3478,58.210.254.100,3478,stun,,,CN,Suzhou,,Chinanet
60.255.40.135:3478,60.255.40.135,3478,stun,,,CN,Chengdu,,CHINA UNICOM China169 Backbone
219.141.236.211:3478,219.141.236.211,3478,stun,,,CN,Beijing,,China Networks Inter-Exchange
60.2.195.31:3478,60.2.195.31,3478,stun,,,CN,Tangshan,,CHINA UNICOM China169 Backbone
221.10.42.176:3478,221.10.42.176,3478,stun,,,CN,Barkam,,CHINA UNICOM China169 Backbone
220.194.187.111:3478,220.194.187.111,3478,stun,,,CN,Taiyuan,,CHINA UNICOM China169 Backbone
122.224.244.130:3478,122.224.244.130,3478,stun,,,CN,Hangzhou,,Chinanet
218.56.180.201:3478,218.56.180.201,3478,stun,,,CN,Dongying,,CHINA UNICOM China169 Backbone
36.112.66.52:3478,36.112.66.52,3478,stun,,,CN,Hangzhou,,China Networks Inter-Exchange
117.141.118.140:3478,117.141.118.140,3478,stun,,,CN,Beijing,,"China Mobile Communications Group Co., Ltd."
58.215.18.110:3478,58.215.18.110,3478,stun,,,CN,Wuxi,,Chinanet
222.132.155.248:3478,222.132.155.248,3478,stun,,,CN,Tai'an,,CHINA UNICOM China169 Backbone
116.236.165.205:3478,116.236.165.205,3478,stun,,,CN,Shanghai,,China Telecom Group
139.217.108.198:3478,139.217.108.198,3478,stun,,,CN,Beijing,,"Shanghai Blue Cloud Technology Co.,Ltd"
112.5.139.231:3478,112.5.139.231,3478,stun,,,CN,Beijing,,"China Mobile Communications Group Co., Ltd."
180.169.78.222:3478,180.169.78.222,3478,stun,,,CN,Shanghai,,China Telecom Group
106.38.159.211:3478,106.38.159.211,3478,stun,,,CN,Changsha,,China Networks Inter-Exchange
210.76.76.216:3478,210.76.76.216,3478,stun,,,CN,Guangzhou,,CHINANET Guangdong province Guangzhou MAN network
27.115.15.63:3478,27.115.15.63,3478,stun,,,CN,Shanghai,,China Unicom Shanghai network
222.189.50.155:3478,222.189.50.155,3478,stun,,,CN,Lianyungang,,Chinanet
183.167.249.215:3478,183.167.249.215,3478,stun,,,CN,Anqing,,Chinanet
123.55.211.177:3478,123.55.211.177,3478,stun,,,CN,Zhoukou,,Chinanet
211.166.250.43:3478,211.166.250.43,3478,stun,,,CN,Beijing,,BEIJING SHENZHOU GREATWALL COMMUNICATION
59.52.88.252:3478,59.52.88.252,3478,stun,,,CN,Nanchang,,Chinanet
171.34.206.158:3478,171.34.206.158,3478,stun,,,CN,Nanchang,,CHINA UNICOM China169 Backbone
106.120.43.18:3478,106.120.43.18,3478,stun,,,CN,Beijing,,China Networks Inter-Exchange
58.18.130.45:3478,58.18.130.45,3478,stun,,,CN,Chifeng,,CHINA UNICOM China169 Backbone
39.150.2.98:3478,39.150.2.98,3478,stun,,,CN,Zhumadian,,"Henan Mobile Communications Co.,Ltd"
1.95.82.191:3478,1.95.82.191,3478,stun,,,CN,Guiyang,,Huawei Cloud Service data center
219.157.200.124:3478,219.157.200.124,3478,stun,,,CN,Zhengzhou,,CHINA UNICOM China169 Backbone
118.163.74.161:3478,118.163.74.161,3478,stun,,,CN,Taipei,,Data Communication Business Group
59.48.149.150:3478,59.48.149.150,3478,stun,,,CN,Yuncheng,,Chinanet
220.163.9.122:3478,220.163.9.122,3478,stun,,,CN,Kunming,,Chinanet
1.85.1.36:3478,1.85.1.36,3478,stun,,,CN,Xi'an,,Chinanet
123.173.79.208:3478,123.173.79.208,3478,stun,,,CN,Changchun,,Chinanet
124.115.223.59:3478,124.115.223.59,3478,stun,,,CN,Xi'an,,Chinanet
123.138.242.134:3478,123.138.242.134,3478,stun,,,CN,Xi'an,,CHINA UNICOM China169 Backbone
221.10.13.177:3478,221.10.13.177,3478,stun,,,CN,Chengdu,,CHINA UNICOM China169 Backbone
106.38.122.200:3478,106.38.122.200,3478,stun,,,CN,Changsha,,China Networks Inter-Exchange
218.5.155.212:3478,218.5.155.212,3478,stun,,,CN,Quanzhou,,Chinanet
175.44.28.66:3478,175.44.28.66,3478,stun,,,CN,Putian,,CHINA UNICOM China169 Backbone
111.74.0.166:3478,111.74.0.166,3478,stun,,,CN,Nanchang,,Chinanet
218.94.61.57:3478,218.94.61.57,3478,stun,,,CN,Nanjing,,Chinanet
175.166.216.225:3478,175.166.216.225,3478,stun,,,CN,Benxi,,CHINA UNICOM China169 Backbone
218.107.45.176:3478,218.107.45.176,3478,stun,,,CN,Guangzhou,,China Unicom Guangzhou network
218.107.45.2:3478,218.107.45.2,3478,stun,,,CN,Guangzhou,,China Unicom Guangzhou network
124.128.223.187:3478,124.128.223.187,3478,stun,,,CN,Jinan,,CHINA UNICOM China169 Backbone
210.22.143.171:3478,210.22.143.171,3478,stun,,,CN,Shanghai,,China Unicom Shanghai network
117.190.148.97:3478,117.190.148.97,3478,stun,,,CN,Beijing,,"China Mobile Communications Group Co., Ltd."
222.216.195.203:3478,222.216.195.203,3478,stun,,,CN,Nanning,,Chinanet
202.195.214.24:3478,202.195.214.24,3478,stun,,,CN,Beijing,,China Education and Research Network Center
203.93.14.194:3478,203.93.14.194,3478,stun,,,CN,Beijing,,China Unicom Beijing Province Network
112.4.212.38:3478,112.4.212.38,3478,stun,,,CN,Beijing,,China Mobile communications corporation
124.67.110.117:3478,124.67.110.117,3478,stun,,,CN,Baotou,,UNICOM InnerMongolia province network
116.112.207.174:3478,116.112.207.174,3478,stun,,,CN,Ordos,,CHINA UNICOM China169 Backbone
27.156.117.163:3478,27.156.117.163,3478,stun,,,CN,Fuqing,,Chinanet
61.178.35.223:3478,61.178.35.223,3478,stun,,,CN,Lanzhou,,Chinanet
202.202.130.35:3478,202.202.130.35,3478,stun,,,CN,Chengdu,,China Education and Research Network Center
61.178.76.251:3478,61.178.76.251,3478,stun,,,CN,Lanzhou,,Chinanet
1.202.72.27:3478,1.202.72.27,3478,stun,,,CN,Beijing,,China Networks Inter-Exchange
120.238.239.29:3478,120.238.239.29,3478,stun,,,CN,Beijing,,"China Mobile Communications Group Co., Ltd."
61.135.7.10:3478,61.135.7.10,3478,stun,,,CN,Beijing,,China Unicom Beijing Province Network
111.203.225.212:3478,111.203.225.212,3478,stun,,,CN,Beijing,,China Unicom Beijing Province Network
101.204.7.65:3478,101.204.7.65,3478,stun,,,CN,Chengdu,,CHINA UNICOM China169 Backbone
58.213.152.92:3478,58.213.152.92,3478,stun,,,CN,Nanjing,,Chinanet
116.10.203.221:3478,116.10.203.221,3478,stun,,,CN,Nanning,,Chinanet
61.181.250.169:3478,61.181.250.169,3478,stun,,,CN,Tianjin,,CHINA UNICOM China169 Backbone
61.144.219.100:3478,61.144.219.100,3478,stun,,,CN,Shenzhen,,Chinanet
119.112.123.25:3478,119.112.123.25,3478,stun,,,CN,Dalian,,CHINA UNICOM China169 Backbone
222.89.254.151:3478,222.89.254.151,3478,stun,,,CN,Shangqiu,,Chinanet
115.63.97.162:3478,115.63.97.162,3478,stun,,,CN,Zhoukou,,CHINA UNICOM China169 Backbone
117.40.153.99:3478,117.40.153.99,3478,stun,,,CN,Nanchang,,Chinanet
123.233.118.23:3478,123.233.118.23,3478,stun,,,CN,Jinan,,CHINA UNICOM China169 Backbone
117.40.253.248:3478,117.40.253.248,3478,stun,,,CN,Yichun,,Chinanet
183.62.133.58:3478,183.62.133.58,3478,stun,,,CN,Shenzhen,,Chinanet
182.245.146.164:3478,182.245.146.164,3478,stun,,,CN,Kunming,,Chinanet
47.101.202.63:3478,47.101.202.63,3478,stun,,,CN,Shanghai,,"Hangzhou Alibaba Advertising Co.,Ltd."
120.211.10.225:3478,120.211.10.225,3478,stun,,,CN,Beijing,,Hebei Mobile Communication Company Limited
27.129.130.58:3478,27.129.130.58,3478,stun,,,CN,Baoding,,Chinanet
183.223.223.67:3478,183.223.223.67,3478,stun,,,CN,Zigong,,"China Mobile Communications Group Co., Ltd."
59.52.88.224:3478,59.52.88.224,3478,stun,,,CN,Nanchang,,Chinanet
58.241.162.12:3478,58.241.162.12,3478,stun,,,CN,Nantong,,CHINA UNICOM China169 Backbone
125.69.69.170:3478,125.69.69.170,3478,stun,,,CN,Chengdu,,Chinanet
113.134.195.142:3478,113.134.195.142,3478,stun,,,CN,Yulin,,Chinanet
222.82.229.195:3478,222.82.229.195,3478,stun,,,CN,Changji,,Chinanet
123.124.229.132:3478,123.124.229.132,3478,stun,,,CN,Beijing,,China Unicom Beijing Province Network
114.240.50.112:3478,114.240.50.112,3478,stun,,,CN,Beijing,,China Unicom Beijing Province Network
202.204.128.130:3478,202.204.128.130,3478,stun,,,CN,Beijing,,China Education and Research Network Center
219.143.71.95:3478,219.143.71.95,3478,stun,,,CN,Beijing,,China Networks Inter-Exchange
120.236.226.235:3478,120.236.226.235,3478,stun,,,CN,Zhongshan,,"China Mobile Communications Group Co., Ltd."
61.241.112.37:3478,61.241.112.37,3478,stun,,,CN,Jinhua,,CHINA UNICOM China169 Backbone
124.223.98.110:3478,124.223.98.110,3478,unknown,,,CN,Shanghai,,Shenzhen Tencent Computer Systems Company Limited
219.145.189.222:3478,219.145.189.222,3478,stun,,,CN,Weinan,,Chinanet
218.28.226.70:3478,218.28.226.70,3478,stun,,,CN,Zhengzhou,,CHINA UNICOM China169 Backbone
222.71.167.98:3478,222.71.167.98,3478,stun,,,CN,Shanghai,,China Telecom Group
39.108.250.37:3478,39.108.250.37,3478,stun,,,CN,Shenzhen,,"Hangzhou Alibaba Advertising Co.,Ltd."
47.117.161.229:3478,47.117.161.229,3478,stun,,,CN,Shanghai,,"Hangzhou Alibaba Advertising Co.,Ltd."
124.161.254.174:3478,124.161.254.174,3478,stun,,,CN,Ziyang,,CHINA UNICOM China169 Backbone
36.112.48.74:3478,36.112.48.74,3478,stun,,,CN,Hangzhou,,China Networks Inter-Exchange
101.132.119.51:3478,101.132.119.51,3478,stun,,,CN,Shanghai,,"Hangzhou Alibaba Advertising Co.,Ltd."
183.243.109.34:3478,183.243.109.34,3478,stun,,,CN,Beijing,,China Mobile Communicaitons Corporation
39.108.128.187:3478,39.108.128.187,3478,stun,,,CN,Shenzhen,,"Hangzhou Alibaba Advertising Co.,Ltd."
61.163.178.81:3478,61.163.178.81,3478,stun,,,CN,Zhoukou,,CHINA UNICOM China169 Backbone
223.76.139.92:3478,223.76.139.92,3478,stun,,,CN,Jingzhou,,"China Mobile Communications Group Co., Ltd."
113.134.195.143:3478,113.134.195.143,3478,stun,,,CN,Yulin,,Chinanet
114.255.158.112:3478,114.255.158.112,3478,stun,,,CN,Beijing,,China Unicom Beijing Province Network
61.232.0.159:3478,61.232.0.159,3478,stun,,,CN,Beijing,,China TieTong Telecommunications Corporation
223.69.143.41:3478,223.69.143.41,3478,stun,,,CN,Beijing,,China Mobile Communicaitons Corporation
218.28.73.222:3478,218.28.73.222,3478,stun,,,CN,Xuchang,,CHINA UNICOM China169 Backbone
180.213.11.108:3478,180.213.11.108,3478,stun,,,CN,Tianjin,,ASN for TIANJIN Provincial Net of CT
45.123.200.45:3478,45.123.200.45,3478,stun,,,CN,Macau,,Centro de Informacoes Tecnologia de Macau
222.175.169.43:3478,222.175.169.43,3478,stun,,,CN,Binzhou,,Chinanet
123.123.114.195:3478,123.123.114.195,3478,stun,,,CN,Beijing,,China Unicom Beijing Province Network
1.202.166.205:3478,1.202.166.205,3478,stun,,,CN,Beijing,,China Networks Inter-Exchange
182.150.36.109:3478,182.150.36.109,3478,stun,,,CN,Chengdu,,Chinanet
218.18.109.235:3478,218.18.109.235,3478,stun,,,CN,Guangzhou,,Chinanet
222.85.27.51:3478,222.85.27.51,3478,stun,,,CN,Xuchang,,Chinanet
125.70.231.96:3478,125.70.231.96,3478,stun,,,CN,Chengdu,,Chinanet
112.49.38.13:3478,112.49.38.13,3478,stun,,,CN,Fuzhou,,"China Mobile Communications Group Co., Ltd."
218.202.236.250:3478,218.202.236.250,3478,stun,,,CN,Shanghai,,"Shanghai Mobile Communications Co.,Ltd."
101.32.59.108:3478,101.32.59.108,3478,stun,,,CN,Hong Kong,,"Tencent Building, Kejizhongyi Avenue"
